ID,Species,Owner,Country.of.Origin,Company,Region,Producer,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
254,Arabica,ibero kenya limited,Kenya,ibero kenya limited,blend,Blend of various producers,2012,"March 8th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84,0,Green,1200,1200,1200
255,Arabica,doi tung development project,Thailand,mae fah luang foundation,thailand,Doi Tung Development Project,2012,"June 21st, 2012",Doi Tung Development Project,NA,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12,Green,-1,-1,-1
256,Arabica,taylor winch (coffee) ltd.,Kenya,taylor winch (coffee) ltd,central kenya,-,2012,"May 31st, 2012",Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84,0,Bluish-Green,1650,1650,1650
257,Arabica,afca,Uganda,bukonzo joint cfs,kasese,NA,2012,"February 13th, 2012",AFCA,NA,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84,0.1,Green,1700,1700,1700
258,Arabica,doi tung development project,Thailand,NA,NA,NA,2011,"August 16th, 2011",Doi Tung Development Project,NA,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8,84,0.06,NA,-1,-1,-1
259,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Agricola S.A,2017,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,0,Green,890,890,890
260,Arabica,cafes tomari sa de cv,Mexico,cafes tomari sa de cv,veracruz,CAFES TOMARI SA DE CV,2017,"July 3rd, 2017",CAFES TOMARI SA DE CV,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,0.11,Green,1300,1300,1300
261,Arabica,sarawut premjit,Thailand,intercof 1978 group company limited,chiangrai,"Phatang, Saveg",2015,"October 18th, 2016",Sarawut Premjit,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,0.1,Bluish-Green,1350,1350,1350
262,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Agricola,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,Green,934,934,934
263,Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,"leye, alishan township, chiayi county ????????","FANG,ZHENG-LUN",2015,"May 18th, 2016","Lin, Che-Hao Krude",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,0.11,Green,1200,1200,1200
264,Arabica,carcafe ltda ci,Colombia,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,2016,"February 11th, 2016",CARCAFE LTDA CI,NA,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,83.92,0.11,Green,442,442,442
265,Arabica,almacafe,Colombia,racafe & cia s.c.a,la plata,NA,2016,"January 21st, 2016",ALMACAFE,NA,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,83.92,0,NA,-1,-1,-1
266,Arabica,cqi taiwan icp cqi,Taiwan,,??,YANG TENG KO,2014,"November 7th, 2015",CQI Taiwan ICP CQI,NA,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.92,0,Blue-Green,-1,-1,-1
267,Arabica,federacion nacional de cafeteros,Colombia,federacion nacional de cafeteros,huila,NA,2015,"August 18th, 2015",Federacion Nacional de Cafeteros,NA,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.92,0,NA,-1,-1,-1
268,Arabica,federacion nacional de cafeteros,Colombia,federacion nacional de cafeteros,huila,NA,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,NA,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,83.92,0,None,-1,-1,-1
269,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,La Plata,2014,"December 12th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,0,Green,1600,1950,1775
270,Arabica,cqi taiwan icp cqi,Taiwan,,?????,,2014,"November 23rd, 2014",CQI Taiwan ICP CQI,Typica,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,0.06,Green,950,950,950
271,Arabica,NA,Colombia,ecom cca sa,santander,NA,2014,"January 17th, 2014",NA,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,0.12,Green,1550,1550,1550
272,Arabica,oscar ortega carballo,Mexico,agro xicotepec 2000,xicotepec de juarez,OSCAR ORTEGA CARBALLO,2012,"July 3rd, 2012",OSCAR ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,Blue-Green,900,900,900
273,Arabica,alfredo bojalil,Mexico,ecomtrading,la concordia,ARTURO LIEVANO MORENO,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,0.11,NA,1500,1500,1500
274,Arabica,organizaciones de productores de cafe colimense,Mexico,organizaciones de productores de cafe colimense sa de cv,la yerbabuena,coop,2012,"April 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,0,Green,1400,1400,1400
275,Arabica,carcafe ltda ci,Colombia,carcafe ltda,nari̱o,Jose Albeiro gomez,2017,"June 30th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0,Green,2527,2527,2527
276,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,La Plata,2016,"March 14th, 2017",Racafe & Cia S.C.A,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,83.83,0,Green,-1,-1,-1
277,Arabica,"ceca, s.a.",Costa Rica,"ceca,s.a.",tarrazu,Martin Gutierrez,2015,"June 6th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,0,Blue-Green,1850,1850,1850
278,Arabica,juan luis alvarado romero,Guatemala,"siembras vision, s.a.",antigua,FINCA MEDINA,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,0.11,Green,1500,1500,1500
279,Arabica,cqi taiwan icp cqi,Taiwan,,??,,2016,"February 23rd, 2016",CQI Taiwan ICP CQI,NA,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,83.83,0,NA,1200,1200,1200
280,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,NA,2015,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8,7.75,7.83,10.0,10.0,10.0,8,83.83,0,Green,1,1,1
281,Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,"dongshan dist., tainan city ??????",ZENG JIAN NAN,2014,"April 30th, 2015","Lin, Che-Hao Krude",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,0,Green,480,570,525
282,Arabica,yasmin cofffee plantation plc,Ethiopia,yasmin coffee plantation plc,oromia,Sumeya Yasin,2014,"March 31st, 2015",yasmin Cofffee Plantation Plc,NA,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.12,Green,1650,1703,1676
283,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,NA,2014,"October 16th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,0,Green,1200,1200,1200
284,Arabica,eric thormaehlen,Costa Rica,coricafe s.a.,central valley,VARIOS,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,0.1,Green,1200,1400,1300
285,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,2014,"May 22nd, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.33,8,7.58,7.75,10.0,10.0,10.0,7.75,83.83,0.1,Green,372,372,372
286,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Coffees,2013,"December 26th, 2013",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,Green,1260,1260,1260
287,Arabica,garet alban,Ecuador,sultana del cafe inc.,"province of manabi, ecuador",NA,2013,"October 4th, 2013",Garet Alban,NA,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,0.09,Bluish-Green,800,800,800
288,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,huila,NA,2013,"September 3rd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,0.11,Green,1750,1750,1750
289,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",oriente,ROBERTO MONTERROSO,2013,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,0.11,Green,399,399,399
290,Arabica,filemon mendoza campos,Mexico,NA,petatlan,FILEMON MENDOZA CAMPOS,2012,"July 26th, 2012",FILEMON MENDOZA CAMPOS,Bourbon,Natural / Dry,7.67,8,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,0.1,Green,1218,1218,1218
291,Arabica,alfredo bojalil,Mexico,ecomtrading,"la concordia, chiapas",ERNST POHLENZ AGUILAR,2012,"June 6th, 2012",ALFREDO BOJALIL,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,0.11,NA,1300,1300,1300
292,Arabica,jacques pereira carneiro,Brazil,NA,carmo de minas,Nazareth Dias Pereira,2011,"December 21st, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,0.12,Green,1250,1250,1250
293,Arabica,doi chaang coffee company,Thailand,NA,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,2011,"September 20th, 2011",Doi Chaang Coffee Company,NA,,7.75,7.75,7.58,8,7.67,7.58,10.0,10.0,10.0,7.5,83.83,0.02,NA,457,457,457
294,Arabica,doi tung development project,Thailand,NA,NA,NA,2011,"August 16th, 2011",Doi Tung Development Project,NA,,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,83.83,0.01,NA,-1,-1,-1
295,Arabica,ethiopia commodity exchange,Ethiopia,NA,sidamo,Contact name | ATO Teshome Belamo,2010,"June 17th, 2010",Ethiopia Commodity Exchange,NA,,7.58,7.83,7.58,8,7.83,7.5,10.0,10.0,10.0,7.5,83.83,0.1,NA,-1,-1,-1
296,Arabica,kennedy macharia,Kenya,taylor winch (coffee) ltd,nyeri,KAROGOTO,NA,"January 11th, 2018",Kennedy Macharia,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,83.75,0.11,Green,1800,1800,1800
297,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Agricola S.A,2017,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.11,Green,890,890,890
298,Arabica,carcafe ltda ci,Colombia,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,2017,"September 28th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,83.75,0.11,Green,442,442,442
299,Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,"?????? (dongshan dist., tainan city)",&  (Tseng Ju Feng & Kuo Jun Hong),2016,"June 6th, 2017","Lin, Che-Hao Krude",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,83.75,0,Green,750,750,750
300,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,La Plata,2016,"February 15th, 2017",Racafe & Cia S.C.A,NA,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,7.67,83.75,0,Green,-1,-1,-1
301,Arabica,yunnan coffee exchange,China,yunnan coffee exchange,yunnan,NA,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,83.75,0.1,Green,1650,1650,1650
302,Arabica,carcafe ltda ci,Colombia,carcafe ltda,huila,FRANKLIN DUSSAN,2015,"November 27th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,83.75,0,Green,442,442,442
303,Arabica,nile highland arabica coffee farmers,Uganda,nile highlands arabica coffee farmers,west nile,Nile Highland Arabica Coffee Farmers,2013,"June 30th, 2014",Nile Highland Arabica Coffee Farmers,Bourbon,Natural / Dry,8,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,83.75,0.12,Green,1400,1400,1400
304,Arabica,german negron,Puerto Rico,"hacienda alto grande, llc.",yauco region,Hacienda Alto Grande,2013,"June 9th, 2014",German Negron,NA,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,0.12,Green,260,260,260
305,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,La Plata,2014,"February 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,83.75,0,Green,1600,1950,1775
306,Arabica,olam agro colombia,Colombia,olam international ltd,huila,NA,2014,"January 24th, 2014",Olam Agro Colombia,NA,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,83.75,0,Green,1500,1600,1550
307,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,huila,NA,2013,"November 22nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0,Blue-Green,1750,1750,1750
308,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,huila,NA,2013,"August 27th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,83.75,0.11,Green,1750,1750,1750
309,Arabica,kona pacific farmers cooperative,United States,kona pacific farmers cooperative,kona,NA,2013,"May 2nd, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,7.75,83.75,0,Bluish-Green,-1,-1,-1
310,Arabica,saul m. hernandez ramirez,Mexico,NA,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,0.13,None,700,700,700
311,Arabica,the coffee source inc.,Guatemala,the coffee source inc.,quetzaltenango,Several producres,2012,"May 24th, 2012",The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,0.11,Bluish-Green,1300,1300,1300
312,Arabica,carcafe ltda ci,Colombia,NA,cauca,NA,NA,"April 20th, 2011",CARCAFE LTDA CI,NA,,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,83.75,0.1,NA,1600,1600,1600
313,Arabica,exportadora de cafe condor s.a,Colombia,NA,cundinamarca,NA,NA,"February 9th, 2011",Exportadora de Cafe Condor S.A,NA,,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,7.75,83.75,0.06,NA,1600,1600,1600
314,Arabica,kona pacific farmers cooperative,United States,NA,kona,NA,NA,"June 29th, 2010",Kona Pacific Farmers Cooperative,NA,,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,7.75,83.75,0,NA,-1,-1,-1
315,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Agricola S.A,2017,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,0.11,Green,890,890,890
316,Arabica,kennedy macharia,Kenya,taylor winch (coffee) ltd,meru county,NCHOROIBORO / KIRIANI FACTORY,2017,"September 1st, 2017",Kennedy Macharia,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,0.11,Bluish-Green,1700,1700,1700
317,Arabica,bismarck castro,Honduras,cigrah s.a de c.v,comayagua,Reinerio Zepeda,2016,"May 11th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,83.67,0.1,Green,1400,1400,1400
318,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,"comercial internacional exportadora, s.a.",jinotega,RONALDO LACAYO CARDENAL,2016,"May 11th, 2017","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.67,0.1,Green,1250,1250,1250
319,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Agricola,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,0.11,Green,934,934,934
320,Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN",2015,"May 18th, 2016","Lin, Che-Hao Krude",Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,83.67,0.1,Bluish-Green,1200,1200,1200
321,Arabica,"ceca, s.a.",Costa Rica,"ceca,s.a.",west valley,NA,NA,"March 14th, 2016","CECA, S.A.",NA,,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,83.67,0.11,Blue-Green,1350,1350,1350
322,Arabica,doi tung development project,Thailand,doi tung development project,thailand,Doi Tung Development Project,2014,"June 9th, 2015",Doi Tung Development Project,NA,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,83.67,0.12,Bluish-Green,800,800,800
323,Arabica,rob stephen,Colombia,olam specialty coffee,huila,Agrotello Coop,2014,"November 21st, 2014",Rob Stephen,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.11,NA,1550,1700,1625
324,Arabica,juan luis alvarado romero,Guatemala,exportcafe,huehuetenango,FRANCISCO LUIS MARTINEZ LOPEZ,2014,"February 27th, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8,7.5,7.33,8,8.0,8.0,9.33,10.0,10.0,7.5,83.67,0.1,Green,414,414,414
325,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,huila supremo,NA,2013,"October 29th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,83.67,0,Green,1750,1750,1750
326,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,Huila,2013,"August 16th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,83.67,0,Green,1800,2000,1900
327,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",oriente,"AGRICOLA MONTE VERDE, S.A.",2013,"May 30th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,83.67,0.12,Green,399,399,399
328,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",oriente,LUIS RODRIGUEZ,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,83.67,0.11,Green,399,399,399
329,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,huila,NA,2012,"November 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,83.67,0.11,Green,1750,1750,1750
330,Arabica,the coffee source inc.,Guatemala,the coffee source inc.,oriente,Finca Quequesquez,2012,"August 23rd, 2012",The Coffee Source Inc.,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11,Green,1450,1450,1450
331,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,2012,"July 9th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,83.67,0.11,Green,399,399,399
332,Arabica,juan luis ortega carballo,Mexico,NA,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,2012,"July 2nd, 2012",JUAN LUIS ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,83.67,0.12,Green,1100,1100,1100
333,Arabica,ekai international company ltd.,Indonesia,scai,east java,PT. Perkebunan Nusantara XII,2012,"May 23rd, 2012",EKAI International Company Ltd.,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,0.12,Green,1200,1600,1400
334,Arabica,juan luis alvarado romero,Guatemala,"siembras vision, s.a.","sacatepequez, guatemala","SIEMBRAS VISION, S.A",2012,"April 30th, 2012",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.1,Green,465,465,465
335,Arabica,kona pacific farmers cooperative,United States,NA,NA,NA,NA,"April 21st, 2011",Kona Pacific Farmers Cooperative,NA,,7.75,8,7.92,8.08,7.75,8.0,9.33,9.33,9.33,8.17,83.67,0,NA,-1,-1,-1
336,Arabica,ipanema coffees,Brazil,ipanema coffees,south of minas,Ipanema Agricola S.A,2017,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,0.11,Green,890,890,890
337,Arabica,juan luis alvarado romero,Guatemala,exportcafe,huehuetenango,JUAN RAMIREZ MORALES,2016,"July 5th, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,0.11,Green,344,344,344
338,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,La Plata,2016,"April 15th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.11,Green,-1,-1,-1
339,Arabica,yunnan coffee exchange,China,yunnan coffee exchange,yunnan,Menglian Mang Pan Professional Cooperative,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.1,Green,1100,1100,1100
340,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,huila,La Plata,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,83.58,0.12,Green,1600,1950,1775
341,Arabica,andreas kussmaul,Mexico,NA,"chiapas, jaltenango",NA,2014,"May 12th, 2015",ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.12,Green,1200,1200,1200
342,Arabica,essencecoffee,Ethiopia,essence coffee,yirgacheffe,LevelUp,2014,"March 25th, 2015",EssenceCoffee,NA,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0,NA,1700,2000,1850
343,Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers association,eastern,Bulamburi coffee farmers association,2013,"June 27th, 2014",Bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,0.12,Green,1800,1800,1800
344,Arabica,NA,Colombia,ecom cca sa,cundinamarca,NA,2014,"June 24th, 2014",NA,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,0,Green,1600,1600,1600
345,Arabica,NA,Colombia,ecom cca sa,santander,NA,2014,"March 13th, 2014",NA,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,0.12,Green,1550,1550,1550
346,Arabica,NA,Colombia,ecom cca sa,santander,NA,2014,"March 21st, 2014",NA,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,83.58,0,NA,1550,1550,1550
347,Arabica,cqi taiwan icp cqi,Taiwan,blossom valley,taichung xinshe ??????,Gu zhi min,2013,"December 26th, 2013",CQI Taiwan ICP CQI,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,0.11,Green,1000,1000,1000
348,Arabica,racafe & cia s.c.a,Colombia,c.i.racafe & cia s.c.a,huila,LA PLATA,2012,"August 31st, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,0.11,Green,1600,1950,1775
